ID,Tipo,SKU,Nombre,"¿En inventario?",Inventario
20386,variation,8708625#06#,"Mochila Bolso táctico Crazy Ants 30 litros - 06. Verde",1,9
20387,variation,8708625#07#,"Mochila Bolso táctico Crazy Ants 30 litros - 07. Acu",1,10
20389,variation,8708625#08#,"Mochila Bolso táctico Crazy Ants 30 litros - 08. Multicam",0,0
20395,variation,8708625#09#,"Mochila Bolso táctico Crazy Ants 30 litros - 09. Negro",0,1
20397,variable,8708628##,"Mochila Bolso tactico camuflado 50 litros",1,
20398,variation,8708628#06#,"Mochila Bolso tactico camuflado 50 litros - 06. Verde",1,3
20400,variation,8708628#07#,"Mochila Bolso tactico camuflado 50 litros - 07. Acu",1,10
20406,simple,8708631##,"Mochila Pix Sport 50 Litros Camuflada",0,0
20412,variable,8708634##,"Mochila Tactica Grande Camuflada 65 Litros",1,
20413,variation,8708634#03#,"Mochila Tactica Grande Camuflada 65 Litros - 03. Beige",1,23
20415,variation,8708634#09#,"Mochila Tactica Grande Camuflada 65 Litros - 09. Negro",1,11
20420,simple,8708640##,"Mochila Waterground Camuflada 50 Litros",0,0
20425,simple,8708657##,"Mochila Mochilero Trekking Campamento 65 Litros",0,0
20431,variable,8708643##,"Mochila Tactica Treeking 25 Litros",1,
20432,variation,8708643#03#,"Mochila Tactica Treeking 25 Litros - 03. Beige",1,26
20433,variation,8708643#06#,"Mochila Tactica Treeking 25 Litros - 06. Verde",1,25
20434,variation,8708643#07#,"Mochila Tactica Treeking 25 Litros - 07. Acu",1,12
20436,variation,8708643#09#,"Mochila Tactica Treeking 25 Litros - 09. Negro",1,62
20437,variable,8708550##,"Morral Bolso Táctico Con Porta Botella 10 Litros",1,
20438,variation,8708550#03#,"Morral Bolso Táctico Con Porta Botella 10 Litros - 03. Beige",1,24
20440,variation,8708550#04#,"Morral Bolso Táctico Con Porta Botella 10 Litros - 04. Woodland",0,2
20442,variation,8708550#06#,"Morral Bolso Táctico Con Porta Botella 10 Litros - 06. Verde",0,0
20444,variation,8708550#07#,"Morral Bolso Táctico Con Porta Botella 10 Litros - 07. Acu",1,28
20446,variation,8708550#08#,"Morral Bolso Táctico Con Porta Botella 10 Litros - 08. Multicam",1,25
20448,variation,8708550#09#,"Morral Bolso Táctico Con Porta Botella 10 Litros - 09. Negro",0,0
20450,variation,8708550#10#,"Morral Bolso Táctico Con Porta Botella 10 Litros - 10. Tri Desert",0,2
20451,variable,8708899##,"Mochila táctica 40 litros sistema molle",1,
20452,variation,8708899#03#,"Mochila táctica 40 litros sistema molle - 03. Beige",0,1
20457,variation,8708899#06#,"Mochila táctica 40 litros sistema molle - 06. Verde",1,3
20458,variation,8708899#09#,"Mochila táctica 40 litros sistema molle - 09. Negro",1,6
20459,variable,8708604##,"Morral riñonera camuflado",1,
20460,variation,8708604#01#,"Morral riñonera camuflado - 01. Pitón Gris",1,16
20462,variation,8708604#02#,"Morral riñonera camuflado - 02. Pitón Beige",0,1
20464,variation,8708604#03#,"Morral riñonera camuflado - 03. Beige",1,14
20465,variation,8708604#04#,"Morral riñonera camuflado - 04. Woodland",1,7
20466,variation,8708604#05#,"Morral riñonera camuflado - 05. Digital Desert",1,7
20468,variation,8708604#06#,"Morral riñonera camuflado - 06. Verde",0,1
20469,variation,8708604#07#,"Morral riñonera camuflado - 07. Acu",1,16
20470,variation,8708604#08#,"Morral riñonera camuflado - 08. Multicam",1,15
20471,variation,8708604#09#,"Morral riñonera camuflado - 09. Negro",1,16
20472,variation,8708604#11#,"Morral riñonera camuflado - 11. Digital Woodland",1,3
20474,variable,1120111##,"Bombacha Americana Gabardina Gris T:62-66",1,
20475,variation,1120111##62,"Bombacha Americana Gabardina Gris T:62-66 - 62",0,2
20476,variation,1120111##64,"Bombacha Americana Gabardina Gris T:62-66 - 64",1,3
20477,variation,1120111##66,"Bombacha Americana Gabardina Gris T:62-66 - 66",1,4
20478,variable,1120185##,"Bombacha Clásica Rip Policía Neuquén T:62-66",0,
20479,variation,1120185##62,"Bombacha Clásica Rip Policía Neuquén T:62-66 - 62",0,0
20480,variation,1120185##64,"Bombacha Clásica Rip Policía Neuquén T:62-66 - 64",0,0
20481,variation,1120185##66,"Bombacha Clásica Rip Policía Neuquén T:62-66 - 66",0,0
20482,variable,1120863##,"Bombacha Americana Rip Negra T:62-66",0,
20483,variation,1120863##62,"Bombacha Americana Rip Negra T:62-66 - 62",0,0
20484,variation,1120863##64,"Bombacha Americana Rip Negra T:62-66 - 64",0,1
20485,variation,1120863##66,"Bombacha Americana Rip Negra T:62-66 - 66",0,2
20486,variable,1120861##,"Bombacha Americana Rip Azul T:62-66",0,
20487,variation,1120861##62,"Bombacha Americana Rip Azul T:62-66 - 62",0,0
20488,variation,1120861##64,"Bombacha Americana Rip Azul T:62-66 - 64",0,1
20489,variation,1120861##66,"Bombacha Americana Rip Azul T:62-66 - 66",0,0
20490,simple,8303299##,"Reloj Táctico Digital Deportivo Luz Sumergible",1,134
20495,simple,8503125##,"Bastón Extensible Policial De Metal",0,0
20499,simple,8503303##,"Reloj Sport Watch Resistente Al Agua 30 Metros",0,2
20504,simple,8503600##,"Kit Rodilleras Y Coderas Tácticas Policial Paintball",1,88
20508,variable,8518014##,"Balaclava Pasamontaña Lycra Táctico Elastizado Primera Piel",1,
20509,variation,8518014#03#,"Balaclava Pasamontaña Lycra Táctico Elastizado Primera Piel - 03. Beige",1,4
20510,variation,8518014#09#,"Balaclava Pasamontaña Lycra Táctico Elastizado Primera Piel - 09. Negro",1,156
20512,variation,8518014#06#,"Balaclava Pasamontaña Lycra Táctico Elastizado Primera Piel - 06. Verde",1,33
